2016-04-14,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-14,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-14,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-14,ru.smarttransport.citytransport,5,32,0,0,0,31,116,0,0
2016-04-14,ru.smarttransport.citytransport,6,435,9,2,0,425,609,8,2
2016-04-15,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-15,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-15,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-15,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-15,ru.smarttransport.citytransport,5,33,0,0,0,32,116,0,0
2016-04-15,ru.smarttransport.citytransport,6,434,3,4,0,424,612,3,4
2016-04-16,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-16,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-16,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-16,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-16,ru.smarttransport.citytransport,5,33,0,0,0,32,115,0,0
2016-04-16,ru.smarttransport.citytransport,6,444,11,4,1,435,624,11,3
2016-04-17,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-17,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-17,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-17,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-17,ru.smarttransport.citytransport,5,33,0,0,0,32,115,0,0
2016-04-17,ru.smarttransport.citytransport,6,447,9,7,0,438,633,9,7
2016-04-18,ru.smarttransport.citytransport,1,10,0,0,0,10,190,0,0
2016-04-18,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-18,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-18,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-18,ru.smarttransport.citytransport,5,32,0,0,0,31,115,0,0
2016-04-18,ru.smarttransport.citytransport,6,446,5,5,0,436,637,4,5
2016-04-19,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-19,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-19,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-19,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-19,ru.smarttransport.citytransport,5,30,0,1,0,29,113,0,1
2016-04-19,ru.smarttransport.citytransport,6,457,10,2,2,447,649,10,2
2016-04-20,ru.smarttransport.citytransport,1,9,0,0,0,9,190,0,0
2016-04-20,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-20,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-20,ru.smarttransport.citytransport,4,28,0,0,0,28,638,0,0
2016-04-20,ru.smarttransport.citytransport,5,29,0,0,0,28,112,0,0
2016-04-20,ru.smarttransport.citytransport,6,472,14,1,1,462,664,14,1
2016-04-21,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-21,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-21,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-21,ru.smarttransport.citytransport,4,28,0,0,0,28,637,0,0
2016-04-21,ru.smarttransport.citytransport,5,29,0,0,0,28,112,0,0
2016-04-21,ru.smarttransport.citytransport,6,478,9,6,1,468,674,9,6
2016-04-22,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-22,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-22,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-22,ru.smarttransport.citytransport,4,28,0,0,0,28,637,0,0
2016-04-22,ru.smarttransport.citytransport,5,30,0,0,0,29,112,0,0
2016-04-22,ru.smarttransport.citytransport,6,485,9,5,0,475,683,9,5
2016-04-23,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-23,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-23,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-23,ru.smarttransport.citytransport,4,27,0,0,0,27,635,0,0
2016-04-23,ru.smarttransport.citytransport,5,30,0,0,0,29,112,0,0
2016-04-23,ru.smarttransport.citytransport,6,486,9,10,2,476,693,8,10
2016-04-24,ru.smarttransport.citytransport,1,10,0,0,0,10,189,0,0
2016-04-24,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-24,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-24,ru.smarttransport.citytransport,4,27,0,0,0,27,634,0,0
2016-04-24,ru.smarttransport.citytransport,5,28,0,0,0,27,110,0,0
2016-04-24,ru.smarttransport.citytransport,6,493,10,8,2,483,706,10,8
2016-04-25,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-25,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-25,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-25,ru.smarttransport.citytransport,4,27,0,0,0,27,634,0,0
2016-04-25,ru.smarttransport.citytransport,5,28,0,0,0,27,110,0,0
2016-04-25,ru.smarttransport.citytransport,6,494,8,6,0,483,712,6,5
2016-04-26,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-26,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-26,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-26,ru.smarttransport.citytransport,4,27,0,0,0,27,634,0,0
2016-04-26,ru.smarttransport.citytransport,5,27,0,1,0,26,110,0,1
2016-04-26,ru.smarttransport.citytransport,6,489,4,7,0,479,716,4,7
2016-04-27,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-27,ru.smarttransport.citytransport,2,2,0,0,0,2,5,0,0
2016-04-27,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-27,ru.smarttransport.citytransport,4,27,0,0,0,27,634,0,0
2016-04-27,ru.smarttransport.citytransport,5,26,0,0,0,25,110,0,0
2016-04-27,ru.smarttransport.citytransport,6,494,12,6,0,483,727,11,6
2016-04-28,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-28,ru.smarttransport.citytransport,2,1,0,0,0,1,4,0,0
2016-04-28,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-28,ru.smarttransport.citytransport,4,26,0,0,0,26,633,0,0
2016-04-28,ru.smarttransport.citytransport,5,26,0,0,0,25,110,0,0
2016-04-28,ru.smarttransport.citytransport,6,498,9,8,2,487,737,8,8
2016-04-29,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-29,ru.smarttransport.citytransport,2,1,0,0,0,1,4,0,0
2016-04-29,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-29,ru.smarttransport.citytransport,4,26,0,0,0,26,633,0,0
2016-04-29,ru.smarttransport.citytransport,5,24,0,1,0,23,109,0,1
2016-04-29,ru.smarttransport.citytransport,6,501,11,10,1,489,748,10,10
2016-04-30,ru.smarttransport.citytransport,1,9,0,0,0,9,189,0,0
2016-04-30,ru.smarttransport.citytransport,2,1,0,0,0,1,4,0,0
2016-04-30,ru.smarttransport.citytransport,3,2,0,0,0,2,55,0,0
2016-04-30,ru.smarttransport.citytransport,4,25,0,1,0,25,633,0,1
2016-04-30,ru.smarttransport.citytransport,5,24,0,0,0,23,109,0,0
2016-04-30,ru.smarttransport.citytransport,6,501,6,5,0,489,754,6,5
